"nest_id","maleplumage","season","laying_date","lay_day","november"
"LSP1415001","black-white","2014_2015","01/01/2015",62,"01/11/2014"
"LSP1415002","black-white","2014_2015","14/01/2015",75,"01/11/2014"
"LSP1415005","brown","2014_2015","25/12/2014",55,"01/11/2014"
"LSP1415006","black-white","2014_2015","28/12/2014",58,"01/11/2014"
"LSP1415007","black-white","2014_2015","09/01/2015",70,"01/11/2014"
"LSP1415008","black-white","2014_2015","29/12/2014",59,"01/11/2014"
"LSP1415009","black-white","2014_2015","18/01/2015",79,"01/11/2014"
"LSP1415010","black-white","2014_2015","03/01/2015",64,"01/11/2014"
"LSP1415011","black-white","2014_2015","16/01/2015",77,"01/11/2014"
"LSP1415012","black-white","2014_2015","02/01/2015",63,"01/11/2014"
"LSP1415014","black-white","2014_2015","02/01/2015",63,"01/11/2014"
"LSP1415015","black-white","2014_2015","05/01/2015",66,"01/11/2014"
"LSP1415017","black-white","2014_2015","20/01/2015",81,"01/11/2014"
"LSP1415021","black-white","2014_2015","26/01/2015",87,"01/11/2014"
"LSP1415022","black-white","2014_2015","06/01/2015",67,"01/11/2014"
"LSP1415024","black-white","2014_2015","09/01/2015",70,"01/11/2014"
"LSP1415027","black-white","2014_2015","13/01/2015",74,"01/11/2014"
"LSP1415030","black-white","2014_2015","24/02/2015",116,"01/11/2014"
"LSP1415034","black-white","2014_2015","18/01/2015",79,"01/11/2014"
"LSP1415037","black-white","2014_2015","23/02/2015",115,"01/11/2014"
"LSP1415038","black-white","2014_2015","27/02/2015",119,"01/11/2014"
"LSP1415039","black-white","2014_2015","18/02/2015",110,"01/11/2014"
"LSP1415041","black-white","2014_2015","22/03/2015",142,"01/11/2014"
"LSP1415043","black-white","2014_2015","23/03/2015",143,"01/11/2014"
"LSP1516003","black-white","2015_2016","04/01/2016",65,"01/11/2015"
"LSP1516004","black-white","2015_2016","02/01/2016",63,"01/11/2015"
"LSP1516010","black-white","2015_2016","14/01/2016",75,"01/11/2015"
"LSP1516011","black-white","2015_2016","16/01/2016",77,"01/11/2015"
"LSP1516013","black-white","2015_2016","11/01/2016",72,"01/11/2015"
"LSP1516016","black-white","2015_2016","24/01/2016",85,"01/11/2015"
"LSP1516018","black-white","2015_2016","05/02/2016",97,"01/11/2015"
"LSP1516024","black-white","2015_2016","11/02/2016",103,"01/11/2015"
"LSP1516026","black-white","2015_2016","22/02/2016",114,"01/11/2015"
"LSP1516029","black-white","2015_2016","21/02/2016",113,"01/11/2015"
"LSP1617001","black-white","2016_2017","27/01/2017",88,"01/11/2016"
"LSP1617003","black-white","2016_2017","20/01/2017",81,"01/11/2016"
"LSP1617007","black-white","2016_2017","28/01/2017",89,"01/11/2016"
"LSP1617009","black-white","2016_2017","01/02/2017",93,"01/11/2016"
"LSP1617014","black-white","2016_2017","11/02/2017",103,"01/11/2016"
"LSP1617019","black-white","2016_2017","04/03/2017",124,"01/11/2016"
"LSP1617023","black-white","2016_2017","07/03/2017",127,"01/11/2016"
"LSP1617029","black-white","2016_2017","29/03/2017",149,"01/11/2016"
"LSP1718001","black-white","2017_2018","24/12/2017",54,"01/11/2017"
"LSP1718002","black-white","2017_2018","17/12/2017",47,"01/11/2017"
