"nest_id","clutch_size","egg_number","maleplumage","ring_female","cc_female","season","layday","laydate","L_egg","W_egg","egg_vol","november","Laying_Day"
"LSP1415006",2,1,"black-white","D143315","dg db # al","2014_2015",58,"28/12/2014",19.2,11.6,1317.61152,"01/11/2014",58
"LSP1415006",2,2,"black-white","D143315","dg db # al","2014_2015",58,"28/12/2014",19.4,12.4,1521.30144,"01/11/2014",58
"LSP1415009",3,1,"black-white","D143340","ye ye # al","2014_2015",79,"18/01/2015",17.6,13.6,1660.20096,"01/11/2014",79
"LSP1415009",3,2,"black-white","D143340","ye ye # al","2014_2015",79,"18/01/2015",17.2,13.4,1575.10032,"01/11/2014",79
"LSP1415009",3,3,"black-white","D143340","ye ye # al","2014_2015",79,"18/01/2015",17.45,13.4,1597.99422,"01/11/2014",79
"LSP1415038",2,1,"black-white","D143345","og dg # al","2014_2015",119,"27/02/2015",17.6,12.2,1335.98784,"01/11/2014",119
"LSP1415038",2,2,"black-white","D143345","og dg # al","2014_2015",119,"27/02/2015",18.4,12.6,1489.80384,"01/11/2014",119
"LSP1718001",3,1,"black-white","UFVCAF000014","al db ye db","2017_2018",54,"24/12/2017",16.5,12.3,1273.10535,"01/11/2017",54
"LSP1718001",3,2,"black-white","UFVCAF000014","al db ye db","2017_2018",54,"24/12/2017",17,12.4,1333.0992,"01/11/2017",54
"LSP1718001",3,3,"black-white","UFVCAF000014","al db ye db","2017_2018",54,"24/12/2017",15.7,12.3,1211.37903,"01/11/2017",54
"LSP1718007",3,1,"black-white","UFVCAF000004","al og lg og","2017_2018",54,"24/12/2017",17.6,12.9,1493.69616,"01/11/2017",54
"LSP1718007",3,2,"black-white","UFVCAF000004","al og lg og","2017_2018",54,"24/12/2017",17.9,12.9,1519.15689,"01/11/2017",54
"LSP1718007",3,3,"black-white","UFVCAF000004","al og lg og","2017_2018",54,"24/12/2017",17.7,13,1525.563,"01/11/2017",54
"LSP1718015",2,1,"black-white","UFVCAF000008","al og db wh","2017_2018",71,"10/01/2018",18.4,12.8,1537.47456,"01/11/2017",71
"LSP1718015",2,2,"black-white","UFVCAF000008","al og db wh","2017_2018",71,"10/01/2018",18,13.2,1599.5232,"01/11/2017",71
"LSP1718036",2,1,"black-white","UFVCAF000077","al ye lg lg","2017_2018",89,"28/01/2018",17.6,12.6,1425.02976,"01/11/2017",89
"LSP1718036",2,2,"black-white","UFVCAF000077","al ye lg lg","2017_2018",89,"28/01/2018",17.6,12.6,1425.02976,"01/11/2017",89
"LSP1718037",1,1,"black-white","UFVCAF000005","al og lg db","2017_2018",98,"06/02/2018",16.7,12.2,1267.67028,"01/11/2017",98
"LSP1718043",2,1,"brown","UFVCAF000115","al dg ye db","2017_2018",105,"13/02/2018",17.3,12.2,1313.21532,"01/11/2017",105
"LSP1718043",2,2,"brown","UFVCAF000115","al dg ye db","2017_2018",105,"13/02/2018",17.1,12.4,1340.94096,"01/11/2017",105
"LSP1718044",2,1,"black-white","UFVCAF000009","al db db ye","2017_2018",100,"08/02/2018",16.8,12.6,1360.25568,"01/11/2017",100
"LSP1718044",2,2,"black-white","UFVCAF000009","al db db ye","2017_2018",100,"08/02/2018",16,12.3,1234.5264,"01/11/2017",100
"LSP1718046",2,1,"black-white","UFVCAF000079","al wh dg pi","2017_2018",107,"15/02/2018",17.8,12.5,1418.4375,"01/11/2017",107
"LSP1718046",2,2,"black-white","UFVCAF000079","al wh dg pi","2017_2018",107,"15/02/2018",17.7,12.5,1410.46875,"01/11/2017",107
"LSP1718048",3,1,"brown","UFVCAF000092","al lg og og","2017_2018",101,"09/02/2018",17.4,12.3,1342.54746,"01/11/2017",101
"LSP1718048",3,2,"brown","UFVCAF000092","al lg og og","2017_2018",101,"09/02/2018",18.5,12.3,1427.42115,"01/11/2017",101
"LSP1718048",3,3,"brown","UFVCAF000092","al lg og og","2017_2018",101,"09/02/2018",17.2,12.1,1284.30852,"01/11/2017",101
"LSP1718050",2,1,"black-white","UFVCAF000121","al bl bl ye","2017_2018",110,"18/02/2018",17.1,12.1,1276.84161,"01/11/2017",110
"LSP1718050",2,2,"black-white","UFVCAF000121","al bl bl ye","2017_2018",110,"18/02/2018",19,12.5,1514.0625,"01/11/2017",110
"LSP1718059",2,1,"black-white","UFVCAF000014"," al db ye db","2017_2018",118,"26/02/2018",16.5,12.4,1293.8904,"01/11/2017",118
"LSP1718059",2,2,"black-white","UFVCAF000014"," al db ye db","2017_2018",118,"26/02/2018",16.7,12.7,1373.70693,"01/11/2017",118
"LSP1718062",2,1,"brown","UFVCAF000118","al pi db db","2017_2018",119,"27/02/2018",17.2,12.7,1414.83588,"01/11/2017",119
"LSP1718062",2,2,"brown","UFVCAF000118","al pi db db","2017_2018",119,"27/02/2018",17.3,12.8,1445.56032,"01/11/2017",119
"LSP1718064",2,1,"brown","UFVCAF000281","al db db lg","2017_2018",119,"27/02/2018",18.1,12.8,1512.40704,"01/11/2017",119
"LSP1718064",2,2,"brown","UFVCAF000281","al db db lg","2017_2018",119,"27/02/2018",17.1,12.5,1362.65625,"01/11/2017",119
"LSP1718069",2,1,"black-white","UFVCAF000104","al wh db dg","2017_2018",131,"11/03/2018",16.8,13,1447.992,"01/11/2017",131
