"clutchsize","layingday","layingdate","maleplumage","season","november","Laying_Day"
2,75,"14/01/2015","black-white","2014_2015","01/11/2014",75
2,55,"25/12/2014","brown","2014_2015","01/11/2014",55
2,58,"28/12/2014","black-white","2014_2015","01/11/2014",58
3,59,"29/12/2014","black-white","2014_2015","01/11/2014",59
3,79,"18/01/2015","black-white","2014_2015","01/11/2014",79
2,64,"03/01/2015","black-white","2014_2015","01/11/2014",64
2,77,"16/01/2015","black-white","2014_2015","01/11/2014",77
2,63,"02/01/2015","black-white","2014_2015","01/11/2014",63
3,66,"05/01/2015","black-white","2014_2015","01/11/2014",66
2,81,"20/01/2015","black-white","2014_2015","01/11/2014",81
2,87,"26/01/2015","black-white","2014_2015","01/11/2014",87
3,67,"06/01/2015","black-white","2014_2015","01/11/2014",67
3,70,"09/01/2015","black-white","2014_2015","01/11/2014",70
2,74,"13/01/2015","black-white","2014_2015","01/11/2014",74
2,79,"18/01/2015","black-white","2014_2015","01/11/2014",79
2,119,"27/02/2015","black-white","2014_2015","01/11/2014",119
2,110,"18/02/2015","black-white","2014_2015","01/11/2014",110
2,143,"23/03/2015","black-white","2014_2015","01/11/2014",143
3,65,"04/01/2016","black-white","2015_2016","01/11/2015",65
2,63,"02/01/2016","black-white","2015_2016","01/11/2015",63
2,75,"14/01/2016","black-white","2015_2016","01/11/2015",75
2,77,"16/01/2016","black-white","2015_2016","01/11/2015",77
2,72,"11/01/2016","black-white","2015_2016","01/11/2015",72
3,85,"24/01/2016","black-white","2015_2016","01/11/2015",85
2,97,"05/02/2016","black-white","2015_2016","01/11/2015",97
2,103,"11/02/2016","black-white","2015_2016","01/11/2015",103
3,113,"21/02/2016","black-white","2015_2016","01/11/2015",113
2,88,"27/01/2017","black-white","2016_2017","01/11/2016",88
2,81,"20/01/2017","black-white","2016_2017","01/11/2016",81
2,89,"28/01/2017","black-white","2016_2017","01/11/2016",89
2,93,"01/02/2017","black-white","2016_2017","01/11/2016",93
2,103,"11/02/2017","black-white","2016_2017","01/11/2016",103
3,124,"04/03/2017","black-white","2016_2017","01/11/2016",124
2,127,"07/03/2017","black-white","2016_2017","01/11/2016",127
2,149,"29/03/2017","black-white","2016_2017","01/11/2016",149
3,54,"24/12/2017","black-white","2017_2018","01/11/2017",54
2,47,"17/12/2017","black-white","2017_2018","01/11/2017",47
2,53,"23/12/2017","black-white","2017_2018","01/11/2017",53
