"nest_id","success","plumage","layday","laydate","season","fail_date","fledge_date","fail_fledge_date","ring_female","nest_fate","november","Laying_Day"
"LSP1415001",0,"black-white",62,"01/01/2015","2014_2015","03/01/2015","","03/01/2015","","depredated","01/11/2014",62
"LSP1415005",0,"brown",55,"25/12/2014","2014_2015","30/12/2014","","30/12/2014","","depredated","01/11/2014",55
"LSP1415006",0,"black-white",58,"28/12/2014","2014_2015","04/01/2015","","04/01/2015","D143315","depredated","01/11/2014",58
"LSP1415007",0,"black-white",70,"09/01/2015","2014_2015","11/01/2015","","11/01/2015","D143315","depredated","01/11/2014",70
"LSP1415008",0,"black-white",59,"29/12/2014","2014_2015","11/01/2015","","11/01/2015","D143340","depredated","01/11/2014",59
"LSP1415009",0,"black-white",79,"18/01/2015","2014_2015","04/02/2015","","04/02/2015","D143340","nestling_died","01/11/2014",79
"LSP1415010",0,"black-white",64,"03/01/2015","2014_2015","06/01/2015","","06/01/2015","","depredated","01/11/2014",64
"LSP1415011",0,"black-white",77,"16/01/2015","2014_2015","19/01/2015","","19/01/2015","","depredated","01/11/2014",77
"LSP1415012",0,"black-white",63,"02/01/2015","2014_2015","04/01/2015","","04/01/2015","","depredated","01/11/2014",63
"LSP1415015",0,"black-white",66,"05/01/2015","2014_2015","18/01/2015","","18/01/2015","","depredated","01/11/2014",66
"LSP1415024",0,"black-white",70,"09/01/2015","2014_2015","26/01/2015","","26/01/2015","","depredated","01/11/2014",70
"LSP1415027",0,"black-white",74,"13/01/2015","2014_2015","21/01/2015","","21/01/2015","","depredated","01/11/2014",74
"LSP1415030",0,"black-white",116,"24/02/2015","2014_2015","05/03/2015","","05/03/2015","","depredated","01/11/2014",116
"LSP1415037",0,"black-white",115,"23/02/2015","2014_2015","05/03/2015","","05/03/2015","","depredated","01/11/2014",115
"LSP1415041",0,"black-white",142,"22/03/2015","2014_2015","28/03/2015","","28/03/2015","","depredated","01/11/2014",142
"LSP1516011",0,"black-white",77,"16/01/2016","2015_2016","23/01/2016","","23/01/2016","","depredated","01/11/2015",77
"LSP1516016",0,"black-white",85,"24/01/2016","2015_2016","02/02/2016","","02/02/2016","","depredated","01/11/2015",85
"LSP1516018",0,"black-white",97,"05/02/2016","2015_2016","20/02/2016","","20/02/2016","","depredated","01/11/2015",97
"LSP1516024",0,"black-white",103,"11/02/2016","2015_2016","18/02/2016","","18/02/2016","","depredated","01/11/2015",103
"LSP1516026",0,"black-white",114,"22/02/2016","2015_2016","25/02/2016","","25/02/2016","","depredated","01/11/2015",114
"LSP1516029",0,"black-white",113,"21/02/2016","2015_2016","07/03/2016","","07/03/2016","","depredated","01/11/2015",113
"LSP1617001",0,"black-white",88,"27/01/2017","2016_2017","04/02/2017","","04/02/2017","","depredated","01/11/2016",88
"LSP1617003",0,"black-white",81,"20/01/2017","2016_2017","24/01/2017","","24/01/2017","","depredated","01/11/2016",81
"LSP1617007",0,"black-white",89,"28/01/2017","2016_2017","04/02/2017","","04/02/2017","","depredated","01/11/2016",89
"LSP1617014",0,"black-white",103,"11/02/2017","2016_2017","24/02/2017","","24/02/2017","","depredated","01/11/2016",103
