"nest_id","ring_female","Season","hatchdate","maleplumage","rgr_tarsus","fm_date","rgr","november"
"LSP1819002","UFVCAF000181","S18_19",55,"black-white",17.53859316,"28/12/2018",0.175385932,"01/11/2018"
"LSP1819002","UFVCAF000181","S18_19",55,"black-white",13.59803908,"28/12/2018",0.135980391,"01/11/2018"
"LSP1819002","UFVCAF000181","S18_19",55,"black-white",13.33659744,"28/12/2018",0.133365974,"01/11/2018"
"LSP1819007","UFVCAF000169","S18_19",50,"black-white",14.04912621,"20/12/2018",0.140491262,"01/11/2018"
"LSP1819007","UFVCAF000169","S18_19",50,"black-white",10.9154328,"22/12/2018",0.109154328,"01/11/2018"
"LSP1819014","UFVCAF000166","S18_19",59,"black-white",12.80637141,"30/12/2018",0.128063714,"01/11/2018"
"LSP1819014","UFVCAF000166","S18_19",59,"black-white",12.05314341,"30/12/2018",0.120531434,"01/11/2018"
"LSP1819017","UFVCAF000250","S18_19",64,"brown",7.376082221,"7/1/2019",0.073760822,"01/11/2018"
"LSP1819017","UFVCAF000250","S18_19",64,"brown",8.972312457,"7/1/2019",0.089723125,"01/11/2018"
"LSP1819018","UFVCAF000073","S18_19",61,"black-white",9.982177972,"2/1/2019",0.09982178,"01/11/2018"
"LSP1819018","UFVCAF000073","S18_19",61,"black-white",8.571279224,"2/1/2019",0.085712792,"01/11/2018"
"LSP1819019","UFVCAF000115","S18_19",65,"brown",15.37097697,"6/1/2019",0.15370977,"01/11/2018"
"LSP1819019","UFVCAF000115","S18_19",65,"brown",7.116506751,"6/1/2019",0.071165068,"01/11/2018"
"LSP1819024","UFVCAF000000","S18_19",66,"brown",11.83430324,"6/1/2019",0.118343032,"01/11/2018"
"LSP1819036","UFVCAF000200","S18_19",74,"black-white",13.24948618,"13/01/2019",0.132494862,"01/11/2018"
"LSP1819036","UFVCAF000200","S18_19",74,"black-white",11.51507003,"13/01/2019",0.1151507,"01/11/2018"
"LSP1819036","UFVCAF000200","S18_19",74,"black-white",17.26198835,"13/01/2019",0.172619883,"01/11/2018"
"LSP1819040","UFVCAF000260","S18_19",85,"brown",11.01080022,"25/01/2019",0.110108002,"01/11/2018"
"LSP1819040","UFVCAF000260","S18_19",85,"brown",11.03876001,"25/01/2019",0.1103876,"01/11/2018"
"LSP1819050","UFVCAF000118","S18_19",69,"black-white",13.51494455,"9/1/2019",0.135149446,"01/11/2018"
"LSP1819050","UFVCAF000118","S18_19",69,"black-white",9.724756773,"9/1/2019",0.097247568,"01/11/2018"
"LSP1819050","UFVCAF000118","S18_19",69,"black-white",14.65735318,"9/1/2019",0.146573532,"01/11/2018"
"LSP1819055","UFVCAF000266","S18_19",87,"black-white",12.34981964,"28/01/2019",0.123498196,"01/11/2018"
"LSP1819055","UFVCAF000266","S18_19",87,"black-white",8.257245918,"28/01/2019",0.082572459,"01/11/2018"
"LSP1819055","UFVCAF000266","S18_19",87,"black-white",8.08099743,"28/01/2019",0.080809974,"01/11/2018"
"LSP1819058","UFVCAF000169","S18_19",83,"black-white",13.80379002,"23/01/2019",0.1380379,"01/11/2018"
"LSP1819058","UFVCAF000169","S18_19",83,"black-white",12.89303986,"23/01/2019",0.128930399,"01/11/2018"
"LSP1819058","UFVCAF000169","S18_19",83,"black-white",17.26821999,"23/01/2019",0.1726822,"01/11/2018"
"LSP1819060","UFVCAF000041","S18_19",83,"brown",10.65424454,"23/01/2019",0.106542445,"01/11/2018"
"LSP1819060","UFVCAF000041","S18_19",83,"brown",14.78866633,"23/01/2019",0.147886663,"01/11/2018"
"LSP1819067","UFVCAF000255","S18_19",89,"black-white",17.35185986,"29/01/2019",0.173518599,"01/11/2018"
"LSP1819074","UFVCAF000281","S18_19",82,"black-white",16.17676806,"22/01/2019",0.161767681,"01/11/2018"
"LSP1819074","UFVCAF000281","S18_19",82,"black-white",16.66092576,"22/01/2019",0.166609258,"01/11/2018"
"LSP1819075","UFVCAF000105","S18_19",80,"black-white",19.31761128,"20/01/2019",0.193176113,"01/11/2018"
"LSP1819075","UFVCAF000105","S18_19",80,"black-white",18.30040124,"20/01/2019",0.183004012,"01/11/2018"
"LSP1819093","UFVCAF000206","S18_19",119,"black-white",23.63126957,"28/02/2019",0.236312696,"01/11/2018"
"LSP1819093","UFVCAF000206","S18_19",119,"black-white",19.61965133,"28/02/2019",0.196196513,"01/11/2018"
"LSP1819099","UFVCAF000270","S18_19",111,"black-white",16.6755219,"20/02/2019",0.166755219,"01/11/2018"
"LSP1819099","UFVCAF000270","S18_19",111,"black-white",16.60399109,"20/02/2019",0.166039911,"01/11/2018"
"LSP1819100","UFVCAF000205","S18_19",123,"brown",13.91478687,"4/3/2019",0.139147869,"01/11/2018"
"LSP1819100","UFVCAF000205","S18_19",123,"brown",12.42056784,"4/3/2019",0.124205678,"01/11/2018"
"LSP1819105","UFVCAF000272","S18_19",116,"black-white",12.4663772,"25/02/2019",0.124663772,"01/11/2018"
"LSP1819113","UFVCAF000282","S18_19",129,"black-white",8.456313319,"12/3/2019",0.084563133,"01/11/2018"
"LSP1819114","UFVCAF000280","S18_19",130,"black-white",14.95941665,"11/3/2019",0.149594167,"01/11/2018"
