"nest_id","maleplumage","ring_female","cc_female","season","fledge","hatch_date","hatchday"
"LSP1415004","black-white","D143309","dg wh # al","2014_2015",3,"21/03/2015",141
"LSP1415038","black-white","D143345","og dg # al","2014_2015",2,"10/03/2015",130
"LSP1415043","black-white","D143347","og og # al","2014_2015",2,"03/04/2015",154
"LSP1718007","black-white","UFVCAF000004","al og lg og","2017_2018",2,"05/01/2018",66
"LSP1718015","black-white","UFVCAF000008","al og db wh","2017_2018",1,"23/01/2018",84
"LSP1718017","black-white","UFVCAF000050","al wh pi lg","2017_2018",2,"14/01/2018",75
"LSP1718021","black-white","UFVCAF000023","al db wh ye","2017_2018",3,"16/01/2018",77
"LSP1718029","black-white","UFVCAF000084","al pi pu pu","2017_2018",2,"25/01/2018",86
"LSP1718043","brown","UFVCAF000115","al dg ye db","2017_2018",1,"26/02/2018",118
"LSP1718046","black-white","UFVCAF000079","al wh dg pi","2017_2018",1,"27/02/2018",119
"LSP1718050","black-white","UFVCAF000121","al bl bl ye","2017_2018",2,"01/03/2018",121
"LSP1718058","black-white","UFVCAF000105","al wh wh dg","2017_2018",2,"01/03/2018",121
"LSP1718059","black-white","UFVCAF000014"," al db ye db","2017_2018",2,"11/03/2018",131
"LSP1718063","black-white","UFVCAF000125","al ye ye pu","2017_2018",2,"09/03/2018",129
"LSP1718064","brown","UFVCAF000281","al db db lg","2017_2018",1,"12/03/2018",132
"LSP1718070","black-white","UFVCAF000009","al db db ye","2017_2018",2,"22/03/2018",142
"LSP1718071","brown","UFVCAF000056","al wh db wh","2017_2018",2,"24/03/2018",144
"LSP1718073","black-white","UFVCAF000044","al dg # db","2017_2018",2,"10/03/2018",130
"LSP1819002","black-white","UFVCAF000181","al lb ye ye","2018_19",3,"25/12/2018",55
"LSP1819007","black-white","UFVCAF000169","al bl pi re","2018_19",2,"20/12/2018",50
"LSP1819017","brown","UFVCAF000250","al db wh og","2018_19",1,"03/01/2019",64
"LSP1819018","black-white","UFVCAF000073","al ye lg db","2018_19",2,"31/12/2018",61
"LSP1819058","black-white","UFVCAF000169","al bl pi re","2018_19",3,"22/01/2019",83
