"nest_id","maleplumage","ring_number_female","colour_comb_female","reference_day","clutch_size","n_hatching","Incubation_day","hatching_day","hatch_succes"
"LSP1415004","black-white","D143309","dg wh # al","01/11/2014",3,3,130,141,1
"LSP1415009","black-white","D143340","ye ye # al","01/11/2014",3,3,81,92,1
"LSP1415023","black-white","D143311","wh wh # al","01/11/2014",2,2,62,73,1
"LSP1415038","black-white","D143345","og dg # al","01/11/2014",2,2,120,130,1
"LSP1415043","black-white","D143347","og og # al","01/11/2014",2,2,144,154,1
"LSP1718007","black-white","UFVCAF000004","al og lg og","01/11/2017",3,3,56,66,1
"LSP1718015","black-white","UFVCAF000008","al og db wh","01/11/2017",2,1,72,84,0.5
"LSP1718017","black-white","UFVCAF000050","al wh pi lg","01/11/2017",3,3,64,75,1
"LSP1718021","black-white","UFVCAF000023","al db wh ye","01/11/2017",3,3,66,77,1
"LSP1718022","black-white","UFVCAF000051","al wh db pi","01/11/2017",3,3,66,77,1
"LSP1718028","black-white","UFVCAF000005","al og lg db","01/11/2017",2,2,76,87,1
"LSP1718029","black-white","UFVCAF000084","al pi pu pu","01/11/2017",2,2,75,86,1
"LSP1718043","brown","UFVCAF000115","al dg ye db","01/11/2017",2,1,106,118,0.5
"LSP1718046","black-white","UFVCAF000079","al wh dg pi","01/11/2017",2,1,108,119,0.5
"LSP1718050","black-white","UFVCAF000121","al bl bl ye","01/11/2017",2,2,111,121,1
"LSP1718058","black-white","UFVCAF000105","al wh wh dg","01/11/2017",2,2,109,121,1
"LSP1718059","black-white","UFVCAF000014"," al db ye db","01/11/2017",2,2,118,131,1
"LSP1718062","brown","UFVCAF000118","al pi db db","01/11/2017",2,2,120,133,1
"LSP1718063","black-white","UFVCAF000125","al ye ye pu","01/11/2017",2,2,117,129,1
"LSP1718064","brown","UFVCAF000281","al db db lg","01/11/2017",2,2,120,132,1
"LSP1718070","black-white","UFVCAF000009","al db db ye","01/11/2017",2,2,130,142,1
"LSP1718071","brown","UFVCAF000056","al wh db wh","01/11/2017",2,2,133,144,1
"LSP1718072","black-white","UFVCAF000008","al og db wh","01/11/2017",2,2,131,143,1
"LSP1718082","black-white","UFVCAF000152","al pi og pu","01/11/2017",2,2,142,152,1
"LSP1819001","black-white","UFVCAF000281","al db db lg","01/11/2018",2,2,46,57,1
"LSP1819002","black-white","UFVCAF000181","al lb ye ye","01/11/2018",3,3,46,55,1
"LSP1819007","black-white","UFVCAF000169","al bl pi re","01/11/2018",2,2,41,50,1
"LSP1819011","black-white","UFVCAF000249","al wh og og","01/11/2018",3,3,49,58,1
"LSP1819012","black-white","UFVCAF000125","al ye ye pu","01/11/2018",2,2,44,54,1
"LSP1819014","black-white","UFVCAF000166","al bl lb lb","01/11/2018",2,2,48,59,1
"LSP1819015","black-white","UFVCAF000105","al wh wh dg","01/11/2018",3,3,45,53,1
"LSP1819017","brown","UFVCAF000250","al db wh og","01/11/2018",3,3,53,64,1
"LSP1819018","black-white","UFVCAF000073","al ye lg db","01/11/2018",3,3,48,61,1
"LSP1819019","brown","UFVCAF000115","al dg ye db","01/11/2018",3,2,55,65,0.666666667
"LSP1819020","black-white","UFVCAF000165","pi al bl bl","01/11/2018",3,3,57,68,1
"LSP1819024","brown","UFVCAF000000","al og dg ye","01/11/2018",3,2,55,66,0.666666667
"LSP1819030","black-white","UFVCAF000058","al og lg og","01/11/2018",3,2,59,71,0.666666667
"LSP1819036","black-white","UFVCAF000200","al og dg og","01/11/2018",3,3,64,74,1
"LSP1819040","brown","UFVCAF000260","al pu og dg","01/11/2018",2,2,74,85,1
"LSP1819050","black-white","UFVCAF000118","al pi db db","01/11/2018",3,3,59,69,1
"LSP1819055","black-white","UFVCAF000266","al re wh ye","01/11/2018",3,3,75,87,1
"LSP1819058","black-white","UFVCAF000169","al bl pi re","01/11/2018",3,3,73,83,1
"LSP1819060","brown","UFVCAF000041","al db ye pi","01/11/2018",3,2,73,83,0.666666667
"LSP1819061","black-white","UFVCAF000233","al ye og db","01/11/2018",3,2,69,79,0.666666667
"LSP1819067","black-white","UFVCAF000255","al pu dg pi","01/11/2018",2,1,77,89,0.5
"LSP1819074","black-white","UFVCAF000281","al db db lg","01/11/2018",3,2,72,82,0.666666667
"LSP1819079","black-white","UFVCAF000268","al pu dg ye","01/11/2018",2,1,82,93,0.5
"LSP1819086","brown","UFVCAF000265","al wh dg wh","01/11/2018",1,1,82,92,1
"LSP1819093","black-white","UFVCAF000206","al wh wh ye","01/11/2018",2,2,106,119,1
"LSP1819099","black-white","UFVCAF000270","al pu pu pi","01/11/2018",2,2,100,111,1
"LSP1819100","brown","UFVCAF000205","al re db og","01/11/2018",2,2,111,123,1
"LSP1819105","black-white","UFVCAF000272","al pu  ye pu ","01/11/2018",2,2,100,116,1
"LSP1819113","black-white","UFVCAF000282","al re og wh","01/11/2018",2,1,116,129,0.5
"LSP1819114","black-white","UFVCAF000280","al re wh db","01/11/2018",2,2,117,130,1
"LSP1819116","black-white","UFVCAF000204","al re db ye","01/11/2018",2,2,118,130,1
"LSP1819121","brown","UFVCAF000058","al og lg og","01/11/2018",2,2,123,135,1
"LSP1819123","black-white","UFVCAF000105","al wh wh dg","01/11/2018",2,2,126,139,1
"LSP1819124","black-white","UFVCAF000172","al bl wh wh","01/11/2018",2,2,121,133,1
"LSP1819126","black-white","UFVCAF000055","al bl pi pi ","01/11/2018",2,2,124,136,1
"LSP1819131","black-white","UFVCAF000225","al pu db wh","01/11/2018",2,1,131,143,0.5
"LSP1819133","black-white","UFVCAF000268","al pu dg ye","01/11/2018",2,2,117,128,1
"LSP1819134","black-white","UFVCAF000125","al ye ye pu","01/11/2018",2,2,128,143,1
"LSP1819135","black-white","UFVCAF000096","al wh dg dg","01/11/2018",2,2,93,131,1
"LSP1819141","black-white","UFVCAF000266","al re wh ye","01/11/2018",2,2,128,141,1
"LSP1819145","black-white","UFVCAF000281","al db db lg","01/11/2018",3,3,130,140,1
"LSP1819151","black-white","UFVCAF000315","al re re dg","01/11/2018",3,2,115,125,0.666666667
"LSP1819154","black-white","UFVCAF000202","al bl db ye","01/11/2018",3,2,135,145,0.666666667
"LSP1920002","black-white","UFVCAF000324","al re dg bl","01/11/2019",3,2,55,69,0.666666667
"LSP1920007","black-white","UFVCAF000348","al db wh ye","01/11/2019",2,2,54,66,1
"LSP1920016","black-white","UFVCAF000041","al db ye pi","01/11/2019",3,2,62,73,0.666666667
"LSP1920017","black-white","UFVCAF000328","al re og wh","01/11/2019",2,1,50,61,0.5
"LSP1920018","black-white","UFVCAF000270","al pu pu pi","01/11/2019",3,3,57,68,1
"LSP1920019","black-white","UFVCAF000336","al bl re dg","01/11/2019",3,3,65,78,1
"LSP1920024","black-white","UFVCAF000342","al bl dg dg","01/11/2019",2,1,59,70,0.5
"LSP1920029","black-white","UFVCAF000749","al re re db","01/11/2019",3,3,66,78,1
"LSP1920032","black-white","UFVCAF000288","al pu ye ye","01/11/2019",3,2,68,79,0.666666667
