"odd_hatch","Incube_day","maleplumage","clutch_size","ring_number_female","season","incube_date","november"
0,62,"black-white",2,"UFVCAF000260","2019_20","02/01/2020","01/11/2019"
1,58,"black-white",3,"UFVCAF000118","2018_19","29/12/2018","01/11/2018"
0,147,"black-white",2,"UFVCAF000212","2018_19","28/03/2019","01/11/2018"
1,143,"black-white",2,"D143347","2014_2015","24/03/2015","01/11/2014"
1,141,"black-white",2,"UFVCAF000152","2017_2018","22/03/2018","01/11/2017"
0,140,"black-white",2,"UFVCAF000250","2018_19","21/03/2019","01/11/2018"
0,139,"black-white",3,"UFVCAF000212","2018_19","20/03/2019","01/11/2018"
0,136,"black-white",2,"UFVCAF000732","2020-21","17/03/2021","01/11/2020"
0,135,"black-white",2,"UFVCAF000270","2018_19","16/03/2019","01/11/2018"
1,134,"black-white",3,"UFVCAF000202","2018_19","15/03/2019","01/11/2018"
1,132,"black-white",2,"UFVCAF000888","2019_20","12/03/2020","01/11/2019"
0,131,"black-white",2,"UFVCAF000104","2017_2018","12/03/2018","01/11/2017"
0,131,"black-white",2,"UFVCAF000861","2019_20","11/03/2020","01/11/2019"
1,130,"black-white",2,"UFVCAF000008","2017_2018","11/03/2018","01/11/2017"
1,130,"black-white",2,"UFVCAF000225","2018_19","11/03/2019","01/11/2018"
1,130,"black-white",2,"UFVCAF000799","2019_20","10/03/2020","01/11/2019"
1,129,"black-white",3,"D143309","2014_2015","10/03/2015","01/11/2014"
1,129,"black-white",2,"UFVCAF000009","2017_2018","10/03/2018","01/11/2017"
1,129,"black-white",3,"UFVCAF000281","2018_19","10/03/2019","01/11/2018"
0,129,"black-white",2,"UFVCAF000281","2020-21","10/03/2021","01/11/2020"
0,128,"black-white",2,"UFVCAF000342","2019_20","08/03/2020","01/11/2019"
1,127,"black-white",2,"UFVCAF000125","2018_19","08/03/2019","01/11/2018"
1,127,"black-white",2,"UFVCAF000266","2018_19","08/03/2019","01/11/2018"
1,125,"black-white",2,"UFVCAF000105","2018_19","06/03/2019","01/11/2018"
1,125,"black-white",2,"UFVCAF000867","2019_20","05/03/2020","01/11/2019"
1,123,"black-white",2,"UFVCAF000055","2018_19","04/03/2019","01/11/2018"
0,123,"black-white",2,"UFVCAF000273","2019_20","03/03/2020","01/11/2019"
1,122,"black-white",2,"UFVCAF000521","2020-21","03/03/2021","01/11/2020"
0,121,"black-white",2,"UFVCAF000101","2018_19","02/03/2019","01/11/2018"
1,120,"black-white",2,"UFVCAF000172","2018_19","01/03/2019","01/11/2018"
1,120,"black-white",2,"UFVCAF000870","2020-21","01/03/2021","01/11/2020"
1,119,"black-white",2,"D143345","2014_2015","28/02/2015","01/11/2014"
1,118,"black-white",2,"UFVCAF000281","2019_20","27/02/2020","01/11/2019"
1,117,"black-white",2,"UFVCAF000014","2017_2018","26/02/2018","01/11/2017"
1,117,"black-white",2,"UFVCAF000204","2018_19","26/02/2019","01/11/2018"
1,116,"black-white",2,"UFVCAF000125","2017_2018","25/02/2018","01/11/2017"
0,116,"black-white",3,"UFVCAF000202","2018_19","25/02/2019","01/11/2018"
1,116,"black-white",2,"UFVCAF000282","2018_19","25/02/2019","01/11/2018"
1,116,"black-white",2,"UFVCAF000268","2018_19","25/02/2019","01/11/2018"
1,116,"black-white",3,"UFVCAF000328","2019_20","25/02/2020","01/11/2019"
0,116,"black-white",2,"UFVCAF000495","2021-22","25/02/2022","01/11/2021"
0,115,"black-white",3,"UFVCAF000281","2018_19","24/02/2019","01/11/2018"
1,115,"black-white",2,"UFVCAF000280","2018_19","24/02/2019","01/11/2018"
1,114,"black-white",3,"UFVCAF000315","2018_19","23/02/2019","01/11/2018"
0,114,"black-white",2,"UFVCAF000868","2019_20","23/02/2020","01/11/2019"
1,114,"black-white",2,"UFVCAF000201","2020-21","23/02/2021","01/11/2020"
1,114,"black-white",2,"UFVCAF000840","2021-22","23/02/2022","01/11/2021"
1,113,"black-white",2,"UFVCAF000507","2020-21","22/02/2021","01/11/2020"
0,111,"black-white",2,"UFVCAF000181","2018_19","20/02/2019","01/11/2018"
1,110,"black-white",2,"UFVCAF000121","2017_2018","19/02/2018","01/11/2017"
0,110,"black-white",2,"UFVCAF000323","2019_20","19/02/2020","01/11/2019"
1,108,"black-white",2,"UFVCAF000105","2017_2018","17/02/2018","01/11/2017"
1,108,"black-white",3,"UFVCAF000210","2020-21","17/02/2021","01/11/2020"
1,107,"black-white",2,"UFVCAF000079","2017_2018","16/02/2018","01/11/2017"
1,105,"black-white",2,"UFVCAF000206","2018_19","14/02/2019","01/11/2018"
1,105,"black-white",2,"UFVCAF000272","2018_19","14/02/2019","01/11/2018"
0,103,"black-white",3,"UFVCAF000201","2020-21","12/02/2021","01/11/2020"
0,102,"black-white",2,"UFVCAF000803","2021-22","11/02/2022","01/11/2021"
1,101,"black-white",2,"UFVCAF000363","2020-21","10/02/2021","01/11/2020"
0,100,"black-white",2,"UFVCAF000009","2017_2018","09/02/2018","01/11/2017"
1,100,"black-white",2,"UFVCAF000700","2019_20","09/02/2020","01/11/2019"
1,99,"black-white",2,"UFVCAF000270","2018_19","08/02/2019","01/11/2018"
1,99,"black-white",3,"UFVCAF000841","2021-22","08/02/2022","01/11/2021"
