date,year,avr_temp,max_temp,min_temp,avr_rH,max_rH,min_rH,avr_dewp,max_dewp,min_dewp,avr_hPa,max_hPa,min_hPa,avr_wind_vel,avr_radiation,tot_prec
27/07/2014,2014,14.92083333,16.8,13.1,0.95125,0.97,0.9,14.1375,15.5,12.6,936.4458333,938.7,934.2,0.191666667,212.2333333,17.6
20/11/2018,2018,20.25416667,21.8,18.9,0.934166667,0.95,0.9,19.15416667,20.3,17.9,930.325,932.2,928.9,0.416666667,299.7857143,61.2
09/11/2018,2018,17.02083333,18.5,15.7,0.93125,0.95,0.9,15.9125,17.1,14.8,931.9916667,933.4,930.5,0.475,343.1615385,62.4
08/01/2022,2022,20.52916667,22.4,19.7,0.944583333,0.95,0.89,19.60416667,21.3,18.9,925.2666667,926.5,923.6,0.7125,193.78,187.6
09/01/2022,2022,20.26818182,22.9,19,0.943636364,0.95,0.88,19.34545455,21.6,18.3,926.6636364,928.3,924.7,0.381818182,312.1714286,120.4
08/01/2023,2023,20.15,21.3,19.2,0.9355,0.95,0.88,19.065,20,18.3,930.895,932.4,929.4,0.68,445.2083333,49.4
23/01/2020,2020,20.85416667,21.9,19.6,0.92875,0.95,0.88,19.64583333,20.5,18.5,923.9291667,926.3,921.8,0.254166667,246.95,105.4
26/07/2014,2014,15.85416667,17,15.2,0.947083333,0.96,0.87,15.03333333,15.8,14.4,935.1541667,937.6,932.6,0.183333333,186,19.6
30/05/2013,2013,17.42916667,20.2,15.7,0.94125,0.96,0.87,16.475,18.6,15.1,931.1,932.9,929.9,0.545833333,399.5230769,2.4
06/11/2013,2013,18.3125,19.5,17,0.92,0.96,0.87,16.97916667,18.1,15.9,931.7416667,933.5,930.2,1.070833333,331.7153846,26
26/09/2019,2019,17.10833333,18.5,16,0.9225,0.95,0.87,15.81666667,17,15.1,932.3791667,934.1,930.7,0.254166667,274.0833333,21
02/02/2018,2018,20.45833333,21.9,19.1,0.922916667,0.94,0.87,19.1625,20.2,17.8,925.15,926.8,923.3,0.320833333,442.1357143,38
26/10/2014,2014,18.34583333,19.5,17.4,0.924166667,0.95,0.86,17.09166667,17.9,15.9,930.2666667,931.5,929,0.591666667,236.7785714,36
14/11/2016,2016,20.04583333,22.4,18.6,0.928333333,0.95,0.85,18.85,20.4,17.8,923.275,927.1,919.6,1.195833333,354.5153846,57.2
17/01/2016,2016,20.8625,23.2,18.7,0.92625,0.95,0.85,19.625,21.7,17.9,925.3708333,926.7,923.5,1.266666667,559.0357143,74.6
06/12/2021,2021,19.19583333,21.2,17.9,0.92625,0.95,0.85,17.97083333,19.1,16.9,929.075,930.6,927.7,0.629166667,228.5285714,90.2
16/01/2016,2016,21.7,23.6,20.5,0.927083333,0.95,0.84,20.44583333,21.4,19.5,925.3,926.8,923.5,1.666666667,243.0642857,62.2
17/12/2021,2021,20.94583333,22.5,19.5,0.924166667,0.95,0.83,19.63333333,20.6,18.5,928.5625,930.5,927.1,0.325,309.4333333,30
14/12/2014,2014,20.73333333,23.9,19.4,0.920416667,0.95,0.83,19.4,22,18.6,926.0958333,927.6,924.5,1.233333333,818.2142857,60.2
30/12/2021,2021,20.37916667,21.9,19.1,0.92,0.95,0.83,19.02916667,20.3,17.7,927.7625,929.6,925.1,0.2875,339.5142857,71.2
02/06/2016,2016,17.58333333,20.7,15.2,0.91375,0.95,0.83,16.15416667,18.2,14.2,929.4333333,932.8,927.3,0.8625,368.7083333,7.8
20/05/2017,2017,19.05,23,17.4,0.887916667,0.92,0.83,17.125,20.1,15.5,929.6625,931.9,927.7,0.341666667,439.65,20.4
19/01/2016,2016,21.8125,24.6,20.5,0.929583333,0.95,0.82,20.6375,22.4,19.4,925.35,926.7,923.2,1.066666667,473.3857143,90
01/12/2017,2017,19.79166667,21.1,18.6,0.915,0.95,0.82,18.35833333,19.6,17.1,926.0333333,927.6,924.6,0.504166667,351.9538462,1.4
30/11/2014,2014,20.5375,22.8,19.1,0.912083333,0.94,0.82,19.07083333,20.6,17.8,930.9583333,932.2,929.7,1.054166667,239.9769231,9
06/12/2022,2022,19.8,21.1,18.5,0.904583333,0.94,0.82,18.1625,19.1,17.1,931.7333333,933.8,930.4,0.266666667,487.7857143,9
03/06/2016,2016,17.85833333,20.3,16.7,0.93625,0.96,0.81,16.79583333,18.1,16,929.5708333,932.6,927.6,0.608333333,274.975,36.6
01/03/2013,2013,20.61666667,22.6,18.8,0.932916667,0.96,0.81,19.47916667,20.3,18,930.325,932.5,928.8,0.5625,466.7357143,52.6
05/01/2023,2023,20.8,23.9,18.9,0.924166667,0.95,0.81,19.49583333,21.6,18,927.6166667,929.3,925.9,0.4625,656.0214286,30.8
02/03/2020,2020,18.97083333,21.7,17,0.920416667,0.95,0.81,17.64583333,19.4,16,929.8416667,931.9,927.9,0.891666667,492.7461538,54.4
15/12/2016,2016,20.2375,22.7,16.7,0.917083333,0.95,0.81,18.82916667,20.7,15.4,930.6833333,934.2,928.2,1.708333333,576.3214286,22.2
20/12/2022,2022,21.24583333,23.8,20,0.906666667,0.95,0.81,19.61666667,21,19,926.0833333,928.3,923.7,0.933333333,591.6,11.6
22/03/2019,2019,20.4125,23.5,18.6,0.889583333,0.93,0.81,18.5125,20.6,17.4,929.0166667,931,927,1.125,677.0083333,57.4
12/03/2016,2016,21.47916667,23.1,19.9,0.922083333,0.95,0.8,20.14166667,21.7,18.6,930.5791667,932.5,928.6,0.641666667,441.6076923,14.6
17/10/2013,2013,18.35,21.2,16.5,0.92,0.95,0.8,17.00416667,18.7,15.5,929.7083333,932,927.9,0.704166667,283.1769231,50.8
21/11/2018,2018,18.9,20.7,16.5,0.91625,0.95,0.8,17.50833333,18.9,15.1,931.7875,933.4,929.7,0.641666667,457.1153846,67.2
23/11/2016,2016,20.75833333,23.5,19.3,0.9075,0.95,0.8,19.18333333,21,18.2,927.8,929.4,925.8,0.454166667,509.2,26.8
11/10/2021,2021,19.37083333,22.2,17.6,0.907916667,0.94,0.8,17.79583333,19.9,16.5,929.55,931,927.6,0.5375,300.2692308,37
19/12/2022,2022,21.1,22.8,20.1,0.8925,0.94,0.8,19.225,20.3,18.1,927.9916667,930.2,926.1,0.3625,353.4428571,6.6
